class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
mountain,0.57957834,0.32818231,-0.199470416,0.99998641,0.583655298,0.316279531,-0.18905744,0.999951363,0.585384727,0.316793442,-0.189072639,0.999944985,0.587551117,0.317450911,-0.189087063,0.999938607,0.576586246,0.315075219,-0.190697506,0.999953985,0.573650599,0.314773262,-0.190672398,0.999949753,0.570744574,0.3145971,-0.190631852,0.999949872,0.590089738,0.323215455,-0.106044225,0.999865592,0.565199912,0.3190341,-0.114435144,0.999926567,0.582796931,0.341714054,-0.166712582,0.999978125,0.573794007,0.340150356,-0.168980017,0.99998188,0.607223868,0.394017458,-0.036985032,0.999954641,0.539491534,0.386618048,-0.039970536,0.999939919,0.624447644,0.453731328,0.037199963,0.978652477,0.511871278,0.446783692,0.022717798,0.983815908,0.615183592,0.511291325,-0.000241878,0.96848774,0.517903984,0.508032441,0.002145068,0.962647319,0.609245181,0.534312785,-0.013989406,0.932629168,0.520549953,0.529620886,-0.009142334,0.925933003,0.60627079,0.527405739,-0.037449233,0.937613904,0.52483058,0.52483958,-0.028236676,0.928953409,0.606855035,0.518365085,-0.009993435,0.925011814,0.525477052,0.517305076,-0.004912884,0.918170333,0.586631477,0.572885752,0.001199129,0.999412119,0.547668874,0.567496836,-0.001122119,0.999505341,0.583065331,0.701192319,0.006845888,0.992432833,0.541734457,0.697022736,0.000346576,0.996206105,0.576520622,0.819762647,0.115786552,0.992760837,0.536430418,0.812811911,0.10845799,0.994708836,0.570555508,0.835588217,0.120788895,0.945251465,0.540172219,0.827348948,0.113414824,0.905343652,0.585836053,0.856851995,0.032839015,0.989219248,0.527509809,0.854584277,0.023905741,0.990147173
mountain,0.578373551,0.328361303,-0.199752495,0.999986827,0.582689941,0.316317111,-0.188872308,0.999952912,0.584239841,0.316834182,-0.188888177,0.999946773,0.586159945,0.317498922,-0.188899338,0.999940276,0.575462341,0.315125495,-0.191008121,0.999955773,0.572482944,0.314855367,-0.190980896,0.999951899,0.569862306,0.314715236,-0.190938339,0.999952078,0.588844419,0.323228121,-0.104963847,0.999871969,0.564306974,0.319105536,-0.115820602,0.999930918,0.581782043,0.341791123,-0.166694075,0.999979138,0.572397768,0.340258569,-0.169720009,0.999982715,0.60589689,0.393745095,-0.036381464,0.99995631,0.537593067,0.386534125,-0.041820832,0.999941289,0.624131858,0.454090685,0.040108681,0.979718447,0.510098159,0.44633773,0.018794799,0.984240413,0.613980591,0.513481915,0.000373827,0.968437433,0.517515957,0.508267343,-0.007113106,0.962468743,0.6083076,0.53654635,-0.014149792,0.931336105,0.520495176,0.529228926,-0.019627165,0.924878597,0.604899347,0.5303303,-0.038106672,0.936322331,0.524870515,0.524698555,-0.03848343,0.927695036,0.60538137,0.521469772,-0.009497449,0.923356593,0.525405467,0.517340958,-0.014145555,0.91660744,0.585902989,0.571571887,0.00167491,0.999410152,0.546278834,0.567025483,-0.001602733,0.999505699,0.582712352,0.701037824,0.007087537,0.992934763,0.541529953,0.696670532,-0.000192043,0.996347666,0.576532364,0.819576323,0.112438008,0.99309051,0.536540508,0.812594473,0.106931381,0.99493885,0.570531189,0.835456133,0.117011063,0.94717586,0.540318906,0.827007294,0.111599267,0.910369217,0.585976183,0.856723785,0.030319333,0.989549518,0.527604461,0.854564965,0.021503765,0.99050492
mountain,0.576670647,0.32850799,-0.202759564,0.999987364,0.581138551,0.316320628,-0.191996768,0.999954998,0.582903504,0.316836804,-0.192009434,0.999949276,0.584587336,0.317495018,-0.192017779,0.999942839,0.573562682,0.315178365,-0.19407475,0.99995786,0.570688009,0.314941138,-0.194048271,0.999954224,0.568279684,0.314858049,-0.19400239,0.999954402,0.587293267,0.323150724,-0.107757747,0.999879479,0.563099563,0.319157094,-0.118725598,0.999935329,0.58036536,0.341828138,-0.16950509,0.999980271,0.570714831,0.340415448,-0.172653094,0.999983609,0.60502106,0.393504947,-0.037373148,0.999958336,0.536217809,0.386108428,-0.044240717,0.999942839,0.622616827,0.454234749,0.037905995,0.980812728,0.50838387,0.443385214,0.020690614,0.984450519,0.611292243,0.514882624,0.001187648,0.968798041,0.515580833,0.505915761,0.001526581,0.961260438,0.605196059,0.538063288,-0.01262697,0.930837214,0.518151224,0.525640905,-0.009557406,0.922001302,0.60167253,0.531963408,-0.036608107,0.93573308,0.523094416,0.521395922,-0.028771441,0.924622238,0.60251236,0.523155093,-0.008432847,0.922365129,0.523643732,0.514610827,-0.0055084,0.913292289,0.584780335,0.570959508,0.001972451,0.999414384,0.545101166,0.566711843,-0.001903623,0.99951309,0.581917346,0.700900316,0.01334967,0.993384957,0.541433454,0.696330965,0.001806006,0.996496081,0.576519072,0.819537222,0.112504713,0.993400693,0.536667943,0.812553883,0.10646937,0.995152533,0.570465863,0.835386574,0.117437616,0.949142218,0.540416539,0.82681179,0.110959277,0.914993942,0.586059928,0.856717169,0.030589234,0.989878118,0.527696669,0.854433298,0.021130772,0.990825772
mountain,0.574405849,0.328563929,-0.20804742,0.9999879,0.57866174,0.316362172,-0.197313786,0.999956906,0.580914199,0.316854149,-0.197328493,0.999951482,0.582607687,0.317498744,-0.197335124,0.999945045,0.571059585,0.315209508,-0.199501589,0.999959707,0.56843406,0.314963192,-0.199473277,0.99995631,0.565922141,0.314877182,-0.199428692,0.999956548,0.584821641,0.32302168,-0.111937083,0.999886036,0.561458945,0.319138438,-0.123474911,0.999939322,0.578007221,0.341822773,-0.174309641,0.999981225,0.568287671,0.34041512,-0.177631974,0.999984443,0.603064299,0.392716497,-0.039372906,0.999960363,0.534336865,0.385881871,-0.048839197,0.999944508,0.620606363,0.452668548,0.033828206,0.981784642,0.506756246,0.443043232,0.018581411,0.984919667,0.610432684,0.514192164,-0.010523735,0.969394684,0.514021516,0.505223572,-0.009709348,0.96150285,0.604850531,0.536749423,-0.02585659,0.930954337,0.516494215,0.525283813,-0.022458833,0.921726644,0.601439238,0.530956447,-0.050400287,0.935787261,0.521611989,0.521301627,-0.041989703,0.924191475,0.602231443,0.522419631,-0.020713335,0.922201157,0.522120178,0.514291704,-0.017117264,0.912775159,0.583499312,0.570179105,0.002004656,0.999415159,0.543656945,0.566226661,-0.001939701,0.999517798,0.580868542,0.7009027,0.016233157,0.993804634,0.54121089,0.696154177,0.002280414,0.996649444,0.576508105,0.819547653,0.112652704,0.993693352,0.536668599,0.812683821,0.105894603,0.995364249,0.570405722,0.835397959,0.117783226,0.951056838,0.54041034,0.826967776,0.110343963,0.919261932,0.586201131,0.856703699,0.030604817,0.990208507,0.527754605,0.854362786,0.020203613,0.991158426
mountain,0.572083294,0.32856226,-0.20600529,0.999988377,0.576286733,0.316367626,-0.195130393,0.999958456,0.578665674,0.316871017,-0.195146844,0.99995321,0.580643415,0.317513138,-0.195152655,0.999946654,0.568763137,0.315207481,-0.197236449,0.999961317,0.566253245,0.314956695,-0.197208971,0.999958158,0.56364888,0.314851135,-0.197167575,0.999958515,0.582497776,0.322888285,-0.110089228,0.999891162,0.559721947,0.318922162,-0.121237405,0.999942958,0.575666487,0.34173587,-0.172513321,0.999982059,0.565918922,0.340288907,-0.175715879,0.999985158,0.601125658,0.392048031,-0.039165352,0.999961674,0.53236711,0.385272741,-0.048620317,0.999946594,0.618302822,0.451867223,0.036550526,0.982495487,0.505339324,0.442857295,0.016735749,0.985469818,0.608633399,0.513213634,-0.006132306,0.969380796,0.51281172,0.505099475,-0.012111259,0.962127447,0.603739917,0.535198569,-0.021145193,0.929716647,0.515072942,0.525562048,-0.024983432,0.922250628,0.600329041,0.529663265,-0.045378551,0.93456459,0.520431817,0.5214625,-0.044044487,0.924549878,0.601044118,0.52117008,-0.016244739,0.920600951,0.520950794,0.514140189,-0.019301591,0.913105309,0.582130969,0.569737196,0.002433145,0.999413431,0.542446613,0.566113114,-0.002365891,0.99952507,0.5797019,0.700960815,0.017798621,0.994147658,0.540755332,0.69584918,0.001841782,0.996782005,0.576496542,0.819574594,0.113061383,0.993908107,0.536638796,0.812874138,0.104014508,0.995535851,0.570319355,0.835438907,0.117581427,0.95262599,0.540388346,0.827162206,0.108063601,0.922911048,0.586393416,0.8567155,0.030139156,0.990423441,0.527753055,0.854402483,0.018662516,0.991410136
mountain,0.569455445,0.328383714,-0.204550251,0.999988794,0.574002266,0.316316634,-0.193443552,0.999959946,0.576380074,0.31684956,-0.193461835,0.999954879,0.578659713,0.317500085,-0.193467349,0.999948323,0.566367626,0.315103441,-0.195517525,0.999962986,0.563831925,0.314839691,-0.195491761,0.999960005,0.561354518,0.314685822,-0.195455834,0.999960482,0.580625951,0.322723925,-0.108786121,0.999896169,0.557810366,0.318557769,-0.119571224,0.999946356,0.57331419,0.341371268,-0.171256185,0.999982834,0.563384414,0.339809537,-0.174431309,0.999985814,0.59928447,0.39102304,-0.038819984,0.99996233,0.530866981,0.384902,-0.048370853,0.999948442,0.616536915,0.450576693,0.038729511,0.983142495,0.503869236,0.442409039,0.018506929,0.985928237,0.60628444,0.512405694,0.003646986,0.969072223,0.511520207,0.505579054,-0.00392026,0.96234107,0.601343155,0.533980191,-0.010130086,0.927853405,0.513570607,0.52630347,-0.015788378,0.922003686,0.59794724,0.52844888,-0.033681288,0.93270123,0.519038081,0.522458494,-0.034284733,0.924129546,0.598749161,0.519949734,-0.005936629,0.918246269,0.519553602,0.515042782,-0.010726541,0.912663817,0.580892026,0.569671869,0.002504753,0.99940902,0.541484356,0.566145122,-0.00243968,0.999532878,0.578776538,0.70102185,0.019353272,0.994465172,0.539637089,0.695524395,0.002217619,0.996915221,0.576446474,0.819547415,0.113224,0.994109929,0.536609232,0.812967062,0.102603517,0.995703816,0.570192635,0.835437059,0.117268957,0.953988671,0.540383935,0.827266037,0.106347539,0.926452994,0.586557329,0.856685698,0.029875176,0.990614116,0.527671218,0.854426801,0.017816329,0.991645873
mountain,0.567181945,0.328145295,-0.21043019,0.99998939,0.572033703,0.316112429,-0.199976727,0.999961913,0.574443042,0.316700935,-0.199978516,0.999957085,0.576854587,0.317360163,-0.199986026,0.999950528,0.564149201,0.314914972,-0.201894894,0.999965131,0.561436415,0.31467846,-0.20187211,0.999962509,0.559096277,0.314525872,-0.20182541,0.999963045,0.579002798,0.322284937,-0.115711913,0.999902129,0.555512011,0.318328977,-0.125946209,0.999950349,0.571237266,0.341022283,-0.177090034,0.999983728,0.561111391,0.339569122,-0.180069283,0.999986589,0.597869635,0.389510155,-0.040417533,0.999962509,0.528941214,0.384380817,-0.052687187,0.999951124,0.614876807,0.449193507,0.046564385,0.98349607,0.502630234,0.442247838,0.017694725,0.986432374,0.604915202,0.511213481,0.030589335,0.967036307,0.510554671,0.505722165,-0.001986864,0.962827563,0.600216746,0.532912076,0.021406885,0.921745896,0.512218356,0.526535928,-0.012280851,0.922130108,0.596948564,0.52779007,-0.002133503,0.926822782,0.517889619,0.522496104,-0.030370483,0.924070537,0.59770596,0.519134462,0.021520162,0.911743581,0.518503547,0.514971137,-0.008335234,0.912516832,0.580217957,0.568261087,0.002643388,0.99940449,0.540404379,0.56589812,-0.002577864,0.999542713,0.578051925,0.700730562,0.018769689,0.994766891,0.538340747,0.6953004,0.002365677,0.997021914,0.576418936,0.818903923,0.113429718,0.994313002,0.5365538,0.813084602,0.102570564,0.99586755,0.570176721,0.835242331,0.117426403,0.955055356,0.540350735,0.827444613,0.106309131,0.9299438,0.5865556,0.856587827,0.029926945,0.990832508,0.527458251,0.854470253,0.01780731,0.991911232
mountain,0.56558913,0.327659935,-0.209916189,0.999990046,0.570525885,0.315578163,-0.19947277,0.999964356,0.573022962,0.316194564,-0.199477687,0.999959826,0.575477898,0.316816956,-0.199489206,0.999953449,0.562517405,0.314443171,-0.201414675,0.999967456,0.559695601,0.314252526,-0.201388583,0.999965131,0.557303667,0.314108104,-0.201335967,0.999965668,0.57769382,0.321171463,-0.114566147,0.999909043,0.553834856,0.317503959,-0.125026464,0.999954402,0.569864869,0.340368837,-0.176251441,0.99998486,0.559611619,0.339051932,-0.179276019,0.999987483,0.596490979,0.386817902,-0.040001288,0.999963999,0.527126849,0.383051544,-0.051531941,0.999953628,0.613568604,0.44701156,0.052258436,0.98398155,0.50115329,0.441815108,0.021716977,0.98673439,0.603307009,0.51118964,0.034474507,0.965668797,0.5097031,0.505672872,0.010352742,0.962800622,0.598782957,0.532916725,0.024500161,0.91715157,0.511298001,0.526629627,0.001077315,0.921515763,0.595505416,0.527775884,0.0007419,0.922385454,0.517010868,0.52248776,-0.017382491,0.923264503,0.596130431,0.519300878,0.025257092,0.90683645,0.517685115,0.514930189,0.004074256,0.911587358,0.579354346,0.567242622,0.002735154,0.99942112,0.539140999,0.565678716,-0.002669096,0.999558091,0.577342868,0.700378418,0.017219556,0.995066166,0.537396073,0.694935143,0.002567255,0.997117817,0.576284528,0.818648756,0.114280589,0.994523883,0.536446631,0.812909663,0.105510965,0.996023118,0.570130527,0.835144937,0.118557952,0.956520438,0.540308177,0.827315807,0.109919839,0.933280528,0.586553335,0.856565952,0.032457225,0.991056502,0.527392626,0.854330361,0.022447677,0.992166519
mountain,0.563933671,0.32650423,-0.2116092,0.999990404,0.568820953,0.31441012,-0.201286614,0.999965847,0.571342707,0.314991444,-0.201293483,0.999961495,0.57385385,0.31554994,-0.201306418,0.999955118,0.560749471,0.313430935,-0.203198478,0.999969006,0.557923317,0.313307017,-0.203173071,0.999966979,0.555579424,0.313183665,-0.203121603,0.999967515,0.576094747,0.319531113,-0.115666717,0.999913633,0.552103996,0.3162916,-0.126094177,0.999957502,0.568416417,0.339138657,-0.177538753,0.999985576,0.558105528,0.337919801,-0.18055366,0.999988139,0.59469521,0.384508222,-0.039881069,0.999964774,0.525360167,0.381257027,-0.051468078,0.999955654,0.611835718,0.445244074,0.048421998,0.984299362,0.499923021,0.441732734,0.020061653,0.986965477,0.601071179,0.511143684,0.025221376,0.963870347,0.508849025,0.505885184,0.002332017,0.962516844,0.597013593,0.5326581,0.013866956,0.912056804,0.510552764,0.52689755,-0.008339077,0.920543015,0.593488991,0.527624786,-0.009743098,0.91743952,0.516295075,0.522670388,-0.027366161,0.922131777,0.594007075,0.519313753,0.015930796,0.901226342,0.51691407,0.515041053,-0.00443437,0.910264015,0.578287899,0.566513956,0.002754744,0.99943012,0.537973762,0.565441668,-0.002692517,0.999567747,0.576784015,0.70010978,0.01645896,0.995304823,0.536036015,0.694101274,0.004110478,0.997170806,0.576145411,0.818471968,0.114329807,0.994682968,0.536045253,0.812272072,0.108757049,0.996125817,0.570117772,0.835031986,0.118586257,0.957801402,0.54013598,0.826970398,0.113455623,0.93607372,0.586593926,0.85644275,0.032526392,0.991211236,0.527256012,0.85430187,0.026474072,0.992330074
mountain,0.576905489,0.302959383,-0.244091481,0.999966979,0.581271827,0.291077673,-0.231129095,0.999823987,0.583538115,0.291460812,-0.231157914,0.999819279,0.585869253,0.291822881,-0.231187657,0.999796569,0.574061632,0.289697617,-0.232632533,0.999841332,0.571241975,0.28925696,-0.232655242,0.999840438,0.568372488,0.288988799,-0.232637152,0.999825716,0.589623153,0.297706574,-0.141347632,0.999660015,0.563294411,0.293973297,-0.148597836,0.999745607,0.580560267,0.316564798,-0.209694505,0.999900222,0.571402609,0.315568984,-0.211651891,0.999887764,0.610556901,0.364064723,-0.075041816,0.999916136,0.537935019,0.357944399,-0.086249381,0.99976933,0.658024609,0.380792975,-0.057081293,0.98590982,0.487366378,0.380229801,-0.074726865,0.993763447,0.702534199,0.371798128,-0.136800826,0.95457536,0.442379415,0.375637978,-0.160337418,0.979969144,0.718123615,0.372852951,-0.154142648,0.905259907,0.425372869,0.381144971,-0.179411024,0.946142077,0.718292654,0.368259043,-0.182820663,0.912395895,0.425763518,0.377912045,-0.20814985,0.95130527,0.712539554,0.368427515,-0.15291585,0.906110585,0.430809498,0.377039105,-0.176077306,0.949408472,0.59018594,0.558079422,0.000363956,0.999177575,0.548387945,0.552306473,-0.000403166,0.998947561,0.58594811,0.694141388,0.014844242,0.994535685,0.540308118,0.687423646,0.020750724,0.99587369,0.578769028,0.81949538,0.13987565,0.994295299,0.531394482,0.806912601,0.14360854,0.994832218,0.573330224,0.836712122,0.146150768,0.951249301,0.534277737,0.822649181,0.149899006,0.931990981,0.582862735,0.861835241,0.048276965,0.991755903,0.527385771,0.853480399,0.054251406,0.992417812
